SensorType,hart,time
HRMLED RED,29.0,2017-05-13 23:38:47.714
HRMLED RED,41.0,2017-05-13 23:38:47.727
HRMLED RED,53.0,2017-05-13 23:38:47.734
HRMLED RED,23.0,2017-05-13 23:38:47.745
HRMLED RED,57.0,2017-05-13 23:38:47.760
HRMLED RED,25.0,2017-05-13 23:38:47.764
HRMLED RED,45.0,2017-05-13 23:38:47.776
HRMLED RED,38.0,2017-05-13 23:38:47.784
HRMLED RED,21.0,2017-05-13 23:38:47.795
HRMLED RED,35.0,2017-05-13 23:38:47.810
HRMLED RED,40.0,2017-05-13 23:38:47.815
HRMLED RED,26.0,2017-05-13 23:38:47.826
HRMLED RED,48.0,2017-05-13 23:38:47.835
HRMLED RED,26.0,2017-05-13 23:38:47.846
HRMLED RED,56.0,2017-05-13 23:38:47.861
HRMLED RED,39.0,2017-05-13 23:38:47.866
HRMLED RED,36.0,2017-05-13 23:38:47.882
HRMLED RED,51.0,2017-05-13 23:38:47.886
HRMLED RED,27.0,2017-05-13 23:38:47.900
HRMLED RED,36.0,2017-05-13 23:38:47.916
HRMLED RED,31.0,2017-05-13 23:38:47.918
HRMLED RED,34.0,2017-05-13 23:38:47.933
HRMLED RED,38.0,2017-05-13 23:38:47.937
HRMLED RED,33.0,2017-05-13 23:38:47.950
HRMLED RED,38.0,2017-05-13 23:38:47.956
HRMLED RED,53.0,2017-05-13 23:38:47.966
HRMLED RED,30.0,2017-05-13 23:38:47.977
HRMLED RED,42.0,2017-05-13 23:38:47.986
HRMLED RED,28.0,2017-05-13 23:38:47.997
HRMLED RED,40.0,2017-05-13 23:38:48.007
HRMLED RED,32.0,2017-05-13 23:38:48.018
HRMLED RED,32.0,2017-05-13 23:38:48.030
HRMLED RED,36.0,2017-05-13 23:38:48.037
HRMLED RED,44.0,2017-05-13 23:38:48.052
HRMLED RED,29.0,2017-05-13 23:38:48.058
HRMLED RED,36.0,2017-05-13 23:38:48.069
HRMLED RED,36.0,2017-05-13 23:38:48.085
HRMLED RED,32.0,2017-05-13 23:38:48.088
HRMLED RED,39.0,2017-05-13 23:38:48.102
HRMLED RED,37.0,2017-05-13 23:38:48.108
HRMLED RED,36.0,2017-05-13 23:38:48.117
HRMLED RED,33.0,2017-05-13 23:38:48.129
HRMLED RED,40.0,2017-05-13 23:38:48.137
HRMLED RED,41.0,2017-05-13 23:38:48.153
HRMLED RED,36.0,2017-05-13 23:38:48.163
HRMLED RED,37.0,2017-05-13 23:38:48.170
HRMLED RED,37.0,2017-05-13 23:38:48.180
HRMLED RED,36.0,2017-05-13 23:38:48.190
HRMLED RED,34.0,2017-05-13 23:38:48.201
HRMLED RED,37.0,2017-05-13 23:38:48.215
HRMLED RED,47.0,2017-05-13 23:38:48.220
HRMLED RED,70.0,2017-05-13 23:38:48.234
HRMLED RED,108.0,2017-05-13 23:38:48.241
HRMLED RED,160.0,2017-05-13 23:38:48.253
HRMLED RED,222.0,2017-05-13 23:38:48.261
HRMLED RED,296.0,2017-05-13 23:38:48.271
HRMLED RED,358.0,2017-05-13 23:38:48.282
HRMLED RED,412.0,2017-05-13 23:38:48.291
HRMLED RED,439.0,2017-05-13 23:38:48.301
HRMLED RED,456.0,2017-05-13 23:38:48.311
HRMLED RED,465.0,2017-05-13 23:38:48.321
HRMLED RED,465.0,2017-05-13 23:38:48.333
HRMLED RED,457.0,2017-05-13 23:38:48.341
HRMLED RED,448.0,2017-05-13 23:38:48.354
HRMLED RED,433.0,2017-05-13 23:38:48.361
HRMLED RED,427.0,2017-05-13 23:38:48.372
HRMLED RED,433.0,2017-05-13 23:38:48.386
HRMLED RED,461.0,2017-05-13 23:38:48.391
HRMLED RED,503.0,2017-05-13 23:38:48.402
